lat,lon,full_address
56.511408,38.318392,"Первомайская улица, Муханово, Сергиево-Посадский городской округ, Московская область, Центральный федеральный округ, 141327, Россия"
56.265116,37.960682,"Сергиево-Посадский городской округ, Московская область, Центральный федеральный округ, 141371, Россия"
56.027487,37.676604,"Центральная улица, Никульское, городской округ Мытищи, Московская область, Центральный федеральный округ, 141036, Россия"
56.414483,36.877466,"46Н-03760, Заовражье, городской округ Клин, Московская область, Центральный федеральный округ, 141642, Россия"
55.970508,36.557007,"Волоколамское шоссе, Румянцево, муниципальный округ Истра, Московская область, Центральный федеральный округ, 143560, Россия"
55.656893,36.041066,"46К-1101, Клементьево, Можайский муниципальный округ, Московская область, Центральный федеральный округ, 143214, Россия"
55.924186,36.819986,"Почтовая улица, Истра, муниципальный округ Истра, Московская область, Центральный федеральный округ, 143500, Россия"
53.397809,36.922175,"70К-379, Донок, Липицкое сельское поселение, Чернский район, Тульская область, Центральный федеральный округ, Россия"
56.203373,36.928316,"Сенежский проезд, СНТ «Надежда-2», городской округ Солнечногорск, Московская область, Центральный федеральный округ, 141542, Россия"
56.305913,38.712943,"Карабаново, Александровский муниципальный округ, Владимирская область, Центральный федеральный округ, 601641, Россия"
56.537721,35.094784,"Центральная улица, Юрьевское, Старицкий муниципальный округ, Тверская область, Центральный федеральный округ, 171372, Россия"
54.015995,38.152830,"55, 70К-371, Пашково, Каменецкое сельское поселение, Узловский район, Тульская область, Центральный федеральный округ, 301608, Россия"
56.862625,38.266856,"78Н-0503, Андрианово, Переславль-Залесский муниципальный округ, Ярославская область, Центральный федеральный округ, Россия"
56.118114,36.921898,"Судниково, городской округ Солнечногорск, Московская область, Центральный федеральный округ, 141590, Россия"
53.646228,43.915469,"Голицынский сельсовет, Нижнеломовский район, Пензенская область, Приволжский федеральный округ, Россия"
57.631964,46.904794,"Пруды, Тоншаевский муниципальный округ, Нижегородская область, Приволжский федеральный округ, Россия"
52.869052,36.213099,"Орловский муниципальный округ, Орловская область, Центральный федеральный округ, Россия"
53.876953,33.001976,"Лозки, Рославльский муниципальный округ, Смоленская область, Центральный федеральный округ, Россия"
56.026124,37.301905,"улица Лесная Цесарка, Лесная Цесарка, Поярково, городской округ Химки, Московская область, Центральный федеральный округ, 141580, Россия"
56.091481,38.441591,"46К-7161, 40, городской округ Щёлково, Московская область, Центральный федеральный округ, 141147, Россия"
57.847720,41.239543,"Кузьмищенское сельское поселение, Костромской район, Костромская область, Центральный федеральный округ, Россия"
54.140278,36.989167,"Верховье, Дубенский муниципальный округ, Тульская область, Центральный федеральный округ, 301160, Россия"
55.298861,36.545334,"Боровский муниципальный округ, Калужская область, Центральный федеральный округ, 249011, Россия"
54.971111,36.243322,"Малоярославецкий муниципальный округ, Калужская область, Центральный федеральный округ, Россия"
55.505000,39.708611,"Шатурское шоссе, Лузгарино, муниципальный округ Шатура, Московская область, Центральный федеральный округ, 140740, Россия"
56.187778,37.605556,"«Московское малое кольцо», Дмитровский муниципальный округ, Московская область, Центральный федеральный округ, 141862, Россия"
56.710278,38.698056,"Переславль-Залесский муниципальный округ, Ярославская область, Центральный федеральный округ, 152039, Россия"
56.895278,39.625000,"Колчигино — Антушково, Инархово, Ильинское городское поселение, Ильинский район, Ивановская область, Центральный федеральный округ, 155064, Россия"
57.847492,41.245594,"Малые Жары, Никольское сельское поселение, Судиславский муниципальный округ, Костромская область, Центральный федеральный округ, Россия"
54.560833,36.671944,"Александровка, Ферзиковский муниципальный округ, Калужская область, Центральный федеральный округ, Россия"
56.402647,38.257570,"46К-8430, Бужаниново, Сергиево-Посадский городской округ, Московская область, Центральный федеральный округ, 141326, Россия"
56.885000,39.541667,"Щенниковское сельское поселение, Ильинский район, Ивановская область, Центральный федеральный округ, Россия"
56.031941,36.364424,"46Н-02890, муниципальный округ Истра, Московская область, Центральный федеральный округ, 143580, Россия"
53.709852,37.290957,"улица Свободы, Плавск, Плавский муниципальный округ, Тульская область, Центральный федеральный округ, 301470, Россия"
56.964922,35.610463,"28Н-0496, Крутые Горки, Калининский муниципальный округ, Тверская область, Центральный федеральный округ, 170520, Россия"
53.898358,35.877464,"Козельский муниципальный округ, Калужская область, Центральный федеральный округ, Россия"
56.025816,37.301930,"улица Лесная Цесарка, Лесная Цесарка, Поярково, городской округ Химки, Московская область, Центральный федеральный округ, 141580, Россия"
56.445063,38.252512,"60, улица 1 Мая, Краснозаводск, Сергиево-Посадский городской округ, Московская область, Центральный федеральный округ, 141321, Россия"
56.240450,38.546026,"Спортивная улица, Сергиев Посад-15, Александровский муниципальный округ, Владимирская область, Центральный федеральный округ, Россия"
